Movie Name,Director,Cast,Plot,Genre
Shutter Island,Martin Scorsese,"Leonardo DiCaprio, Mark Ruffalo, Ben Kingsley, Max von Sydow","In 1954, a U.S. Marshal investigates the disappearance of a murderer who escaped from a hospital for the criminally insane.",Mystery
The Thing,John Carpenter,"Kurt Russell, Wilford Brimley, T.K. Carter, David Clennon",A research team in Antarctica is hunted by a shape-shifting alien that assumes the appearance of its victims.,Horror
Gone with the Wind,Victor Fleming,"Thomas Mitchell, Barbara O'Neil, Vivien Leigh, Evelyn Keyes",A manipulative woman and a roguish man conduct a turbulent romance during the American Civil War and Reconstruction periods.,Drama
Andhadhun,Sriram Raghavan,"Ayushmann Khurrana, Tabu, Radhika Apte","A series of mysterious events changes the life of a blind pianist, who must now report a crime that he should technically know nothing of.",Crime
The Bridge on the River Kwai,David Lean,"William Holden, Alec Guinness, Jack Hawkins, Sessue Hayakawa","British POWs build a railway bridge across the river Kwai for their Japanese captors, oblivious of the Allies' plans to destroy it.",Adventure
Blade Runner,Ridley Scott,"Harrison Ford, Rutger Hauer, Sean Young, Edward James Olmos","A blade runner must pursue and terminate four replicants who stole a ship in space, and have returned to Earth to find their creator.",Action
On the Waterfront,Elia Kazan,"Marlon Brando, Karl Malden, Lee J. Cobb, Rod Steiger",An ex-prize fighter turned longshoreman struggles to stand up to his corrupt union bosses.,Crime
The Third Man,Carol Reed,"Joseph Cotten, Alida Valli, Orson Welles, Trevor Howard","Pulp novelist Holly Martins travels to shadowy, postwar Vienna, only to find himself investigating the mysterious death of an old friend, Harry Lime.",Film-Noir
Jurassic Park,Steven Spielberg,"Sam Neill, Laura Dern, Jeff Goldblum, Richard Attenborough",A pragmatic Paleontologist visiting an almost complete theme park is tasked with protecting a couple of kids after a power failure causes the park's cloned dinosaurs to run loose.,Action
Finding Nemo,Andrew Stanton,"Albert Brooks, Ellen DeGeneres, Alexander Gould, Willem Dafoe","After his son is captured in the Great Barrier Reef and taken to Sydney, a timid clownfish sets out on a journey to bring him home.",Animation
Wild Strawberries,Ingmar Bergman,"Victor Sj√∂str√∂m, Bibi Andersson, Ingrid Thulin, Gunnar Bj√∂rnstrand","After living a life marked by coldness, an aging professor is forced to confront the emptiness of his existence.",Drama
Fargo,Joel Coen,"William H. Macy, Steve Buscemi, Peter Stormare, Kristin Rudr√ºd",Jerry Lundegaard's inept crime falls apart due to his and his henchmen's bungling and the persistent police work of the quite pregnant Marge Gunderson.,Crime
Gran Torino,Clint Eastwood,"Clint Eastwood, Christopher Carley, Bee Vang, Ahney Her","Disgruntled Korean War veteran Walt Kowalski (Clint Eastwood) sets out to reform his neighbor, Thao Lor (Bee Vang), a Hmong teenager who tried to steal Kowalski's prized possession: a 1972 Gran Torino.",Drama
The Bandit,Yavuz Turgul,"Sener Sen, Ugur Yücel, Sermin Hürmeriç","Baran the Bandit, released from prison after 35 years searches for vengeance and his lover.",Crime
