Movie Name,Director,Running Time,Country,Language,IMDB Rating,Genre,Number of votes,Plot,Cast,Release Year
A Separation,Asghar Farhadi,123,Iran,Persian,8.3,Drama,"203,307",A married couple are faced with a difficult decision - to improve the life of their child by moving to another country or to stay in Iran and look after a deteriorating parent who has Alzheimer's disease.,"Peyman Moaadi, Leila Hatami, Sareh Bayat, Shahab Hosseini",2011
Double Indemnity,Billy Wilder,107,USA,English,8.3,Crime,"132,102",An insurance representative lets himself be talked by a seductive housewife into a murder/insurance fraud scheme that arouses the suspicion of an insurance investigator.,"Fred MacMurray, Barbara Stanwyck, Edward G. Robinson, Porter Hall",1944
To Kill a Mockingbird,Robert Mulligan,129,USA,English,8.3,Crime,"278,430","Atticus Finch, a lawyer in the Depression-era South, defends a black man against an undeserved rape charge, and his children against prejudice.","Gregory Peck, John Megna, Frank Overton, Rosemary Murphy",1963
Capharna√ºm,Nadine Labaki,126,Lebanon,Arabic,8.4,Drama,"31,832","While serving a five-year sentence for a violent crime, a 12-year-old boy sues his parents for neglect.","Zain Al Rafeea, Yordanos Shiferaw, Boluwatife Treasure Bankole",2018
Indiana Jones and the Last Crusade,Steven Spielberg,127,USA,English,8.2,Action,"649,210","In 1938, after his father Professor Henry Jones, Sr. goes missing while pursuing the Holy Grail, Professor Henry ""Indiana"" Jones, Jr. finds himself up against Adolf Hitler's Nazis again to stop them from obtaining its powers.","Harrison Ford, Sean Connery, Denholm Elliott, Alison Doody",1989
The Apartment,Billy Wilder,125,USA,English,8.3,Comedy,"149,088","A man tries to rise in his company by letting its executives use his apartment for trysts, but complications and a romance of his own ensue.","Jack Lemmon, Shirley MacLaine, Fred MacMurray, Ray Walston",1960
Up,Pete Docter,96,USA,English,8.2,Animation,"870,191","78-year-old Carl Fredricksen travels to Paradise Falls in his house equipped with balloons, inadvertently taking a young stowaway.","Edward Asner, Jordan Nagai, John Ratzenberger",2009
L.A. Confidential,Curtis Hanson,138,USA,English,8.2,Crime,"503,268","As corruption grows in 1950s Los Angeles, three policemen -- one strait-laced, one brutal, and one sleazy -- investigate a series of murders with their own brand of justice.","Kevin Spacey, Russell Crowe, Guy Pearce, James Cromwell",1997
Incendies,Denis Villeneuve,131,Canada,French,8.3,Drama,"129,461",Twins journey to the Middle East to discover their family history and fulfill their mother's last wishes.,"Mustafa Kamel, Hussein Sami, R√©my Girard, M√©lissa D√©sormeaux-Poulin",2011
Monty Python and the Holy Grail,Terry Gilliam,91,USA,English,8.2,Adventure,"472,399","King Arthur and his Knights of the Round Table embark on a surreal, low-budget search for the Holy Grail, encountering many, very silly obstacles.","Graham Chapman, John Cleese, Eric Idle, Terry Gilliam",1975
